,Unnamed: 0,user_id,tweet_id,location,source,hashtags
261,4764,1113333791899021312,1190029472461926400,Korea,Twitter for iPhone,"['방탄소년단', 'BTS']"
262,4807,1026236967569293312,1190029501876584449,United States,Twitter for iPhone,"['2019MAMA', '방탄소년단', 'BTS', 'BTS']"
263,4847,1113930913451110400,1190029534256599042,Korea,Twitter for iPhone,"['방탄소년단', 'BTS']"
264,4888,2806453452,1190029578166833152,日本,Twitter for Android,"['BTS', 'Lights', 'BoyWithLove']"
265,4893,1138994823782944768,1190029581425795077,México,Twitter for iPhone,
266,4926,1031022862772125696,1190029605966614528,Brasil,Twitter for Android,"['MAMAVOTE', 'BTS']"
267,4935,1054145246597017600,1190029613378002944,Korea,Twitter for Android,"['JIMIN비타민요정큐티', 'JIMIN내품속으로', 'JIMIN내입으로송', '지민', 'JIMIN', 'BTS', '방탄소년단']"
268,4954,1162215684455055361,1190029626627821570,United States,Twitter for Android,"['MAMAVOTE', 'bts']"
269,4965,2444871192,1190029633493843968,Indonesia,Twitter for Android,"['방탄소년단', 'BTS', '김남준', 'RM', 'NAMJOON']"
270,4982,3277741897,1190029651432882177,México,Twitter for Android,
271,4985,1147479501430906880,1190029652666068995,Thailand,Twitter for Android,"['정국', 'JUNGKOOK', 'JK', '뷔', 'V', 'TAEHYUNG', '태형', 'VKOOK', 'KOOKV', '국뷔']"
272,5021,889695880663756800,1190029676493885446,United States,Twitter for Android,"['MAMAVOTE', 'bts']"
273,5040,926301039506149378,1190029692063105024,México,Twitter for Android,
274,5053,1146485655397998592,1190029704956465152,México,Twitter for Android,"['MAMAVOTE', 'BTS']"
275,5054,1052801698039623680,1190029705178693632,Korea,Twitter for Android,['2019MAMA']
276,5068,2524060926,1190029713554755585,Korea,Twitter for Android,
277,5080,1016898732132974592,1190029723822223363,Philippines,Twitter for Android,"['방탄소년단', 'BTS']"
278,5083,904072170359230464,1190029726032642048,Indonesia,Twitter for Android,['BTS']
279,5085,2990630048,1190029726703857664,Indonesia,Twitter for Android,
280,5107,861567756604293120,1190029738305302528,Indonesia,Twitter for iPhone,"['JIMIN', 'BTS']"
281,5135,1034697811655180288,1190029755468242944,Philippines,Twitter for Android,
282,5154,1144378119840784402,1190029772887396353,Brasil,Twitter for Android,
283,5156,1186530887334129664,1190029773017403395,Korea,Twitter for Android,['BTS']
