;user_id;tweet_id;location;source;hashtags
3957;3390011585;1190028817714339848;United States;Twitter for iPhone;'halloween2019', 'happpyhalloween', 'BTS'
3994;3891443182;1190028844813705222;United States;Twitter for iPhone;'JIMIN', 'BTS'
4007;903847074248114176;1190028856087986176;Seoul, Republic of Korea;Twitter for Android;'MAMAVOTE', 'bts'
4012;1097475857759711233;1190028862194733056;Indonesia;Twitter for Android;'2019MAMA', '?????', 'BTS', 'BTS'
4056;1137177041512460288;1190028905543016449;??;Twitter for iPhone;'MAMAVOTE', 'bts'
4071;1093230029494984704;1190028916481839110;Brasil;Twitter for Android;'BTS', 'ARMY'
4093;1001031544780156929;1190028939370082305;???? ??;Twitter for iPhone;'MAMAVOTE', 'BTS'
4105;1077354469313122309;1190028947561553920;United States;Twitter for iPhone;'MAMAVOTE', 'BTS'
4117;996246906912178176;1190028959624380416;??;Twitter for iPhone;'MAMAVOTE', 'bts'
4119;1151132348731101185;1190028963470598144;Seoul, Republic of Korea;Twitter for Android;'MAMAVOTE', 'BTS'
4141;881727748326162432;1190028978880438273;Brasil;Twitter for Android;'Namjin', 'MAMAVOTE', 'BTS'
4202;3385151277;1190029026334822408;Mexico;Twitter for Android;'BTS', 'Gloss'
4205;1103631317147607042;1190029028692037633;Indonesia;Twitter for Android;'UKArmy'
4223;938147513172815872;1190029038942863361;????;Twitter for iPhone;'?', 'V', 'taehyung', '??', '???', '??', '?????', 'BTS', '?????', 'BTSV'
4234;1109446605109751808;1190029045582331904;??;Twitter for iPhone;'JIMIN', 'BTS'
4236;918950250123091968;1190029046928887808;Mexico;Twitter Web Client;'MAMAVOTE', 'BTS'
4252;1066299576796266497;1190029059310391296;Brasil;Twitter for iPhone;'BTS', 'MAMAVOTE'
4265;1153508636766851072;1190029068797800448;????;Twitter for iPhone;'???', '???', 'JHOPE', '???', '??', 'JIMIN', '?????', 'BTS'
4267;832599378699309056;1190029072178515971;Republic of the Philippines;Twitter for Android;'UKArmy'
4275;762712840285192192;1190029077425590274;Mexico;Twitter for Android;
4286;1131560748528873472;1190029087265476608;Brasil;Twitter for iPhone;'BTS'
4299;1153084178549768192;1190029094890680320;Seoul, Republic of Korea;Twitter for Android;'2019MAMA', 'BTS', '?????'
4304;4897205304;1190029097180622848;Republic of the Philippines;Twitter for iPhone;'BTS'
4354;922361748291588096;1190029129829232640;Malaysia;Twitter for Android;'JIMIN', 'BTS'
4389;997690380320567296;1190029155448045570;??;Twitter for iPhone;'MAMAVOTE', 'bts'
4460;1146793730986270721;1190029211748175876;Mexico;Twitter for Android;'ChickenNoodleSoup'
4471;768625438855946240;1190029223584505862;United States;Twitter for iPhone;
4497;915668814934585344;1190029242131566592;Republic of the Philippines;Twitter for Android;
4511;1151987564242329600;1190029256342016006;Indonesia;Twitter for Android;'MAMAVOTE', 'bts'
4532;100673443;1190029278932619265;Indonesia;Twitter for iPhone;
4535;869232259395706880;1190029281235222531;United States;Twitter for iPhone;'BTS'
4572;1120434464361013250;1190029310834495488;Mexico;Twitter Web App;
4608;1087548643391922176;1190029339435438081;Indonesia;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
4655;1159240238004355073;1190029380342472705;Brasil;Twitter Web App;'MAMAVOTE', 'BTS'
4657;968079071220350977;1190029381239885824;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
